Packet,Latency_us,Result
1,411.3,1
2,521.3,1
3,521.2,1
4,516.6,1
5,398.3,1
6,396.7,1
7,388.4,1
8,521.3,1
9,400.5,1
10,383.2,1
11,392.7,1
12,525.8,1
13,389.9,1
14,392.4,1
15,398.2,1
16,519.1,1
17,392.9,1
18,399.7,1
19,384.3,1
20,521.7,1
21,396.4,1
22,389.5,1
23,391.0,1
24,534.0,1
25,384.9,1
26,391.9,1
27,396.9,1
28,519.0,1
29,392.4,1
30,397.5,1
31,404.3,1
32,536.0,1
33,508.9,1
34,530.7,1
35,516.6,1
36,545.7,1
37,502.6,1
38,510.6,1
39,519.1,1
40,519.2,1
41,404.5,1
42,386.6,1
43,518.1,1
44,394.2,1
45,414.0,1
46,515.4,1
47,388.5,1
48,393.5,1
49,386.0,1
50,395.4,1
51,527.3,1
52,385.3,1
53,388.1,1
54,398.4,1
55,519.2,1
56,404.5,1
57,391.9,1
58,389.7,1
59,516.9,1
60,395.0,1
61,385.9,1
62,395.7,1
63,530.5,1
64,384.1,1
65,391.6,1
66,404.3,1
67,572.7,1
68,469.1,1
69,530.0,1
70,518.6,1
71,519.6,1
72,396.8,1
73,392.9,1
74,537.2,1
75,550.5,1
76,476.0,1
77,520.9,1
78,523.4,1
79,397.3,0
80,394.1,1
81,388.3,1
82,534.1,1
83,396.4,1
84,390.6,1
85,387.0,1
86,525.4,1
87,395.8,1
88,391.0,1
89,386.3,1
90,528.1,1
91,387.7,1
92,386.2,1
93,392.9,1
94,524.1,1
95,392.9,1
96,417.6,1
97,374.1,1
98,520.6,1
99,414.2,1
100,376.1,1
101,398.0,1
102,518.4,0
103,383.5,1
104,392.4,1
105,486.7,1
106,429.3,1
107,401.4,1
108,397.6,1
109,383.5,1
110,516.7,1
111,400.9,1
112,392.4,1
113,388.6,1
114,551.3,1
115,510.8,1
116,667.3,1
117,503.8,1
118,382.2,1
119,411.7,1
120,376.2,1
121,522.4,1
122,397.5,1
123,393.2,1
124,389.1,1
125,404.8,1
126,515.0,1
127,389.9,1
128,398.5,1
129,386.4,1
130,531.7,1
131,385.8,1
132,385.7,1
133,400.9,1
134,520.6,1
135,387.9,1
136,398.8,1
137,393.9,1
138,520.0,1
139,557.8,1
140,488.7,1
141,389.8,1
142,534.2,1
143,518.5,1
144,390.8,1
145,532.4,1
146,529.6,1
147,507.4,1
148,395.7,1
149,519.9,1
150,396.1,1
151,524.0,1
152,532.9,1
153,385.5,1
154,389.3,1
155,396.8,1
156,520.7,1
157,390.9,1
158,397.7,1
159,389.6,1
160,526.2,1
161,410.0,1
162,499.8,1
163,403.5,1
164,383.3,1
165,388.8,1
166,446.5,1
167,482.8,1
168,383.7,1
169,391.5,1
170,394.5,1
171,398.0,1
172,390.8,1
173,517.7,1
174,400.6,1
175,385.8,1
176,484.5,1
177,458.5,1
178,362.7,1
179,397.6,1
180,393.1,1
181,520.2,1
182,405.2,1
183,390.5,1
184,383.9,1
185,529.5,1
186,387.7,1
187,388.1,1
188,399.2,1
189,521.1,1
190,387.3,1
191,398.3,1
192,415.2,1
193,528.4,1
194,499.4,1
195,513.2,1
196,404.5,1
197,515.2,1
198,530.2,1
199,383.5,1
200,523.0,1
201,403.6,1
202,385.2,1
203,389.6,1
204,400.0,1
205,520.5,1
206,387.8,1
207,404.4,1
208,384.5,1
209,554.9,1
210,495.9,1
211,389.2,1
212,388.9,1
213,402.5,1
214,387.8,1
215,386.5,1
216,409.0,1
217,510.1,0
218,391.5,1
219,398.8,1
220,424.5,1
221,498.2,1
222,386.7,1
223,386.4,1
224,392.5,1
225,532.0,0
226,384.9,1
227,388.8,1
228,400.5,1
229,520.5,1
230,388.1,1
231,401.3,1
232,386.5,1
233,521.0,1
234,402.7,1
235,395.4,1
236,383.9,1
237,573.1,1
238,472.7,1
239,387.8,1
240,397.9,1
241,388.3,1
242,391.9,1
243,411.1,1
244,383.1,1
245,516.3,1
246,398.2,1
247,388.8,1
248,389.4,1
249,531.6,1
250,387.9,1
251,388.3,1
252,410.9,1
253,510.9,1
254,388.5,1
255,402.7,1
256,385.1,1
257,519.7,1
258,405.8,1
259,387.5,1
260,388.7,0
261,527.5,1
262,388.0,1
263,389.0,1
264,402.8,1
265,386.0,1
266,517.7,1
267,406.6,1
268,383.9,1
269,523.3,1
270,398.6,1
271,387.6,1
272,389.9,1
273,552.6,1
274,496.6,1
275,397.3,1
276,519.5,1
277,525.8,1
278,518.8,1
